目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
12,519-ｵ 2,くらしの中の化学物質 わたしたちの未来があぶない 2 環境ホルモンのはなし,,小峰書店,1999,4338160020,https://www.kinokuniya.co.jp/f/dsg-01-4338160020,https://calil.jp/book/4338160020
12,519-ｵ 3,くらしの中の化学物質 わたしたちの未来があぶない 3 くらしと化学物質,,小峰書店,1999,4338160039,https://www.kinokuniya.co.jp/f/dsg-01-4338160039,https://calil.jp/book/4338160039
12,519-ｼ ,新・  今「ゴミ」が危ない 最新版地球環境白書 Gakken mook 新・「驚異の科学」シリーズ 3,,学習研究社,1998,4056017794,https://www.kinokuniya.co.jp/f/dsg-01-4056017794,https://calil.jp/book/4056017794
12,519-ﾅ ,「想い」と「アイデア」で世界を変える - ゴミを宝に変えるすごい仕組み株式会社ナカダイの挑戦,中台澄之∥著,SBクリエイティブ,2016.12,9784797388794,https://www.kinokuniya.co.jp/f/dsg-01-9784797388794,https://calil.jp/book/9784797388794
12,S518-ｻ ,ゴミと化学物質 岩波新書 新赤版562,酒井伸一∥著,岩波書店,1998,4004305624,https://www.kinokuniya.co.jp/f/dsg-01-4004305624,https://calil.jp/book/4004305624
12,S518-ｽ ,ゴミ分別の異常な世界 - リサイクル社会の幻想,杉本裕明∥著、服部美佐子∥著,幻冬舎,2009.7,9784344981331,https://www.kinokuniya.co.jp/f/dsg-01-9784344981331,https://calil.jp/book/9784344981331
12,S518-ﾀ ,リサイクル幻想,武田邦彦∥著,文芸春秋,2000.1,4166601318,https://www.kinokuniya.co.jp/f/dsg-01-4166601318,https://calil.jp/book/4166601318
12,S518-ﾀ ,産業廃棄物 岩波新書 新赤版182,高杉晋吾∥著,岩波書店,1991,4004301823,https://www.kinokuniya.co.jp/f/dsg-01-4004301823,https://calil.jp/book/4004301823
12,S518-ﾖ ,ごみとリサイクル 岩波新書 新赤版149,寄本勝美∥著,岩波書店,1990,4004301491,https://www.kinokuniya.co.jp/f/dsg-01-4004301491,https://calil.jp/book/4004301491
12,S518-ﾖ ,リサイクル社会への道 岩波新書 新赤版857,寄本勝美∥著,岩波書店,2003,4004308577,https://www.kinokuniya.co.jp/f/dsg-01-4004308577,https://calil.jp/book/4004308577
12,S519-ﾅ ,大量廃棄社会 - アパレルとコンビニの不都合な真実,仲村和代∥著、藤田さつき∥著,光文社,2019.4,9784334044053,https://www.kinokuniya.co.jp/f/dsg-01-9784334044053,https://calil.jp/book/9784334044053
12,S519-ﾊ ,ごみから地球を考える,八太昭道∥著,岩波書店,2006.11,4005005497,https://www.kinokuniya.co.jp/f/dsg-01-4005005497,https://calil.jp/book/4005005497
12,S519-ﾐ ,ゼロエミッションと日本経済 岩波新書 新赤版491,三橋規宏∥著,岩波書店,1997,4004304911,https://www.kinokuniya.co.jp/f/dsg-01-4004304911,https://calil.jp/book/4004304911
12,S519-ﾖ ,はじめて学ぶ環境倫理 - 未来のために「しくみ」を問う,吉永明弘∥著,筑摩書房,2021.12,9784480684165,https://www.kinokuniya.co.jp/f/dsg-01-9784480684165,https://calil.jp/book/9784480684165
12,S578-ｸ ,生物とコラボする - バイオプラスチックの未来,工藤律子∥著,岩波書店,2013.11,9784005007592,https://www.kinokuniya.co.jp/f/dsg-01-9784005007592,https://calil.jp/book/9784005007592
13,369-ｷ ,水害列島日本の挑戦 - ウィズコロナの時代の地球温暖化への処方箋,気候変動による水害研究会∥著、日経コンストラクション∥編,日経BP,2020.11,9784296107537,https://www.kinokuniya.co.jp/f/dsg-01-9784296107537,https://calil.jp/book/9784296107537
13,369-ｻ ,図解身近にあふれる「自然災害」が3時間でわかる本 - 思わずだれかに話したくなる,左巻健男∥編著,明日香出版社,2021.9,9784756921680,https://www.kinokuniya.co.jp/f/dsg-01-9784756921680,https://calil.jp/book/9784756921680
13,369-ｼ 1,どっちを選ぶ?クイズで学ぶ!自然災害サバイバル - 地震,木原実∥監修、大野直人∥イラスト,日本図書センター,2020.4,9784284204552,https://www.kinokuniya.co.jp/f/dsg-01-9784284204552,https://calil.jp/book/9784284204552
13,369-ｼ 2,どっちを選ぶ?クイズで学ぶ!自然災害サバイバル - 水害,木原実∥監修、小松亜紗美∥イラスト,日本図書センター,2020.4,9784284204569,https://www.kinokuniya.co.jp/f/dsg-01-9784284204569,https://calil.jp/book/9784284204569
13,450-ﾅ ,地球がもし100cmの球だったら,永井智哉∥文、木野鳥乎∥絵,世界文化社,2002.9,4418025197,https://www.kinokuniya.co.jp/f/dsg-01-4418025197,https://calil.jp/book/4418025197
13,451-ｷ ,グレタのねがい - 地球をまもり未来に生きる,ヴァレンティナ・キャメリニ∥著,西村書店,2020.1,9784867060070,https://www.kinokuniya.co.jp/f/dsg-01-9784867060070,https://calil.jp/book/9784867060070
13,451-ｼﾞ ,グレタと立ち上がろう - 気候変動の世界を救うための18章,ヴァレンティナ・ジャンネッラ∥著、マヌエラ・マラッツィ∥イラスト,岩崎書店,2020.2,9784265860487,https://www.kinokuniya.co.jp/f/dsg-01-9784265860487,https://calil.jp/book/9784265860487
13,452-ﾊﾞ ,とけてゆく地球 - 氷河が伝える温暖化の真実,ジェームズ・バローグ∥文・写真,日経ナショナルジオグラフィック社,2009.6,9784863130753,https://www.kinokuniya.co.jp/f/dsg-01-9784863130753,https://calil.jp/book/9784863130753
13,519-ｲ 1,池上彰のニュースに登場する世界の環境問題 - 気候変動,池上彰∥監修、稲葉茂勝∥訳・文、アンジェラ・ロイストン∥原著,さ・え・ら書房,2010.3,9784378011912,https://www.kinokuniya.co.jp/f/dsg-01-9784378011912,https://calil.jp/book/9784378011912
13,519-ｺﾞ ,不都合な真実 - ECO入門編,アル・ゴア∥著,ランダムハウス講談社,2007.6,9784270002261,https://www.kinokuniya.co.jp/f/dsg-01-9784270002261,https://calil.jp/book/9784270002261
13,519-ｽ ,いのちの中にある地球―最終講義:持続可能な未来のために,デヴィッド・スズキ∥著,日本放送出版協会,2010,978414081436,https://www.kinokuniya.co.jp/f/dsg-01-978414081436,https://calil.jp/book/978414081436
13,519-ｽ ,地球温暖化とのつきあいかた,杉山大志∥著,ウェッジ,2014.9,9784863101333,https://www.kinokuniya.co.jp/f/dsg-01-9784863101333,https://calil.jp/book/9784863101333
13,519-ｽ 4,実践!体験!みんなでストップ温暖化 - 地域と家庭で!地球を守るエコ活動,住明正∥監修,学研教育出版,2011.2,9784055007894,https://www.kinokuniya.co.jp/f/dsg-01-9784055007894,https://calil.jp/book/9784055007894
13,519-ﾀ ,環境教育 善意の落とし穴 クレスコファイル,田中優∥著,大月書店,2009,9784272408016,https://www.kinokuniya.co.jp/f/dsg-01-9784272408016,https://calil.jp/book/9784272408016
13,519-ﾀ ,環境問題はなぜウソがまかり通るのか,武田邦彦∥著,洋泉社,2008.1,9784862483324,https://www.kinokuniya.co.jp/f/dsg-01-9784862483324,https://calil.jp/book/9784862483324
13,R519-ｶ 令和5年版,環境白書 - 循環型社会白書、生物多様性白書,環境省大臣官房総合政策課∥編集、環境省環境再生・資源循環局総務課循環型社会推進室∥編集、環境省自然環境局自然環境計画課生物多様性戦略推進室∥編集,日経印刷,2023.6,9784865793673,https://www.kinokuniya.co.jp/f/dsg-01-9784865793673,https://calil.jp/book/9784865793673
13,S451-ｺ ,地球温暖化は解決できるのか - パリ協定から未来へ!,小西雅子∥著,岩波書店,2016.7,9784005008377,https://www.kinokuniya.co.jp/f/dsg-01-9784005008377,https://calil.jp/book/9784005008377
13,S451-ﾓ ,いま、この惑星で起きていること - 気象予報士の眼に映る世界,森さやか∥著,岩波書店,2022.7,9784005009541,https://www.kinokuniya.co.jp/f/dsg-01-9784005009541,https://calil.jp/book/9784005009541
13,S519-ｲ ,酸性雨 岩波新書 新赤版230,石弘之∥著,岩波書店,1992,4004302307,https://www.kinokuniya.co.jp/f/dsg-01-4004302307,https://calil.jp/book/4004302307
14,519-ｹﾞ ,脱プラスチックへの挑戦 - 持続可能な地球と世界ビジネスの潮流,堅達京子∥著、NHK、BS1スペシャル取材班∥著,山と溪谷社,2020.2,9784635310413,https://www.kinokuniya.co.jp/f/dsg-01-9784635310413,https://calil.jp/book/9784635310413
14,519-ﾌﾟ ,プラスチックの現実と未来へのアイデア - みんなで考えたい,高田秀重∥監修,東京書籍,2019.8,9784487812608,https://www.kinokuniya.co.jp/f/dsg-01-9784487812608,https://calil.jp/book/9784487812608
14,519-ﾓ ,プラスチックスープの海 - 北太平洋巨大ごみベルトは警告する,チャールズ・モア∥著、カッサンドラ・フィリップス∥著,NHK出版,2012.8,9784140815601,https://www.kinokuniya.co.jp/f/dsg-01-9784140815601,https://calil.jp/book/9784140815601
14,519-ﾕ ,海の放射能汚染,湯浅一郎∥著,緑風出版,2012.6,9784846112097,https://www.kinokuniya.co.jp/f/dsg-01-9784846112097,https://calil.jp/book/9784846112097
14,519-ﾖ ,沖縄 海は泣いている - 「赤土汚染」とサンゴの海,吉嶺全二∥著,高文研,1991.7,4874981259,https://www.kinokuniya.co.jp/f/dsg-01-4874981259,https://calil.jp/book/4874981259
14,S519-ｼ ,海はゴミ箱じゃない!,眞淳平∥著,岩波書店,2008.7,9784005006014,https://www.kinokuniya.co.jp/f/dsg-01-9784005006014,https://calil.jp/book/9784005006014
15,S454-ﾈ ,砂漠化ってなんだろう,根本正之∥著,岩波書店,2007.2,9784005005468,https://www.kinokuniya.co.jp/f/dsg-01-9784005005468,https://calil.jp/book/9784005005468
15,S481-ﾀ ,動物を守りたい君へ,高槻成紀∥著,岩波書店,2013.1,9784005007554,https://www.kinokuniya.co.jp/f/dsg-01-9784005007554,https://calil.jp/book/9784005007554
15,S501-ｷ ,バイオマスは地球環境を救えるか,木谷収∥著,岩波書店,2007.11,9784005005789,https://www.kinokuniya.co.jp/f/dsg-01-9784005005789,https://calil.jp/book/9784005005789
15,S519-ｺ ,地球温暖化の最前線,小西雅子∥著,岩波書店,2009.11,9784005006403,https://www.kinokuniya.co.jp/f/dsg-01-9784005006403,https://calil.jp/book/9784005006403
15,S519-ｺ ,生物多様性と私たち - COP10から未来へ,香坂玲∥著,岩波書店,2011.5,9784005006823,https://www.kinokuniya.co.jp/f/dsg-01-9784005006823,https://calil.jp/book/9784005006823
15,S519-ﾆ ,アマゾンで地球環境を考える,西沢利栄∥著,岩波書店,2005.8,4005005160,https://www.kinokuniya.co.jp/f/dsg-01-4005005160,https://calil.jp/book/4005005160
15,S519-ﾜ ,さとやま - 生物多様性と生態系模様,鷲谷いづみ∥著,岩波書店,2011.6,9784005006861,https://www.kinokuniya.co.jp/f/dsg-01-9784005006861,https://calil.jp/book/9784005006861
15,S654-ﾀ ,獣害列島 - 増えすぎた日本の野生動物たち,田中淳夫∥著,イースト・プレス,2020.1,9784781651279,https://www.kinokuniya.co.jp/f/dsg-01-9784781651279,https://calil.jp/book/9784781651279
15,S654-ﾀ ,割り箸はもったいない? - 食卓からみた森林問題,田中淳夫∥著,筑摩書房,2007.5,9784480063649,https://www.kinokuniya.co.jp/f/dsg-01-9784480063649,https://calil.jp/book/9784480063649
16,134-ｶ ,永遠平和のために,カント∥著,綜合社,2007.11,9784777710102,https://www.kinokuniya.co.jp/f/dsg-01-9784777710102,https://calil.jp/book/9784777710102
16,304-ｱ ,北朝鮮のミサイルはなぜ日本に落ちないのか - 国民は両建構造に騙されている,秋嶋亮∥著,白馬社,2018.6,9784907872243,https://www.kinokuniya.co.jp/f/dsg-01-9784907872243,https://calil.jp/book/9784907872243
16,311-ﾁ ,〈公正〉を乗りこなす - 正義の反対は別の正義か,朱喜哲∥著,太郎次郎社エディタス,2023.9,9784811808604,https://www.kinokuniya.co.jp/f/dsg-01-9784811808604,https://calil.jp/book/9784811808604
16,311-ﾏ ,これからの「正義」の話をしよう―いまを生き延びるための哲学,マイケル・サンデル∥著,早川書房,2010,9784152091314,https://www.kinokuniya.co.jp/f/dsg-01-9784152091314,https://calil.jp/book/9784152091314
16,312-ｵ ,沖縄の自立と日本 - 「復帰」40年の問いかけ,大田昌秀∥著、新川明∥著、稲嶺惠一∥著、新崎盛暉∥著,岩波書店,2013.8,9784000259095,https://www.kinokuniya.co.jp/f/dsg-01-9784000259095,https://calil.jp/book/9784000259095
16,316-ﾀ ,テロリズム,チャールズ・タウンゼンド∥著,岩波書店,2003.9,4000268643,https://www.kinokuniya.co.jp/f/dsg-01-4000268643,https://calil.jp/book/4000268643
16,316-ﾍ ,ヘイトスピーチってなに?レイシズムってどんなこと? - ,のりこえねっと∥編、石井ポンペ∥ほか著,七つ森書館,2014.4,9784822814007,https://www.kinokuniya.co.jp/f/dsg-01-9784822814007,https://calil.jp/book/9784822814007
16,316-ﾍﾞ ,娘に語る人種差別,タハール・ベン・ジェルーン∥著,青土社,2017.3,9784791769759,https://www.kinokuniya.co.jp/f/dsg-01-9784791769759,https://calil.jp/book/9784791769759
16,319-ｻ ,中村哲という希望 - 日本国憲法を実行した男,佐高信∥著、高世仁∥著,旬報社,2024.1,9784845118458,https://www.kinokuniya.co.jp/f/dsg-01-9784845118458,https://calil.jp/book/9784845118458
16,319-ｻ ,平和のための名言集,早乙女勝元∥編,大和書房,2012.8,9784479392316,https://www.kinokuniya.co.jp/f/dsg-01-9784479392316,https://calil.jp/book/9784479392316
16,319-ｽ ,よし、戦争について話をしよう。戦争の本質について話をしようじゃないか! - オリバー・ストーンが語る日米史の真実,オリバー・ストーン∥著、ピーター・カズニック∥著、乗松聡子∥著,金曜日,2014.8,9784906605965,https://www.kinokuniya.co.jp/f/dsg-01-9784906605965,https://calil.jp/book/9784906605965
16,319-ﾀ ,世界はなぜ仲良くできないの? - 暴力の連鎖を解くために,竹中千春∥著,阪急コミュニケーションズ,2004.6,4484042096,https://www.kinokuniya.co.jp/f/dsg-01-4484042096,https://calil.jp/book/4484042096
16,319-ﾄ ,ウクライナ戦争は世界をどう変えたか - 「独裁者の論理」と試される「日本の論理」,豊島晋作∥著,KADOKAWA,2022.8,9784046059314,https://www.kinokuniya.co.jp/f/dsg-01-9784046059314,https://calil.jp/book/9784046059314
16,319-ﾌ ,「正しい戦争」は本当にあるのか - 論理としての平和主義,藤原帰一∥著,ロッキング・オン,2003.12,4860520319,https://www.kinokuniya.co.jp/f/dsg-01-4860520319,https://calil.jp/book/4860520319
16,319-ﾎﾞ ,最新世界紛争地図,パスカル・ボニファス∥著、ユベール・ヴェドリーヌ∥著,ディスカヴァー・トゥエンティワン,2020.8,9784799326657,https://www.kinokuniya.co.jp/f/dsg-01-9784799326657,https://calil.jp/book/9784799326657
16,319-ﾔ ,日本はなぜ、「戦争ができる国」になったのか,矢部宏治∥著,集英社インターナショナル,2016.5,9784797673289,https://www.kinokuniya.co.jp/f/dsg-01-9784797673289,https://calil.jp/book/9784797673289
16,319-ﾘ ,戦争のつくりかた,りぼん・ぷろじぇくと∥文、りぼん山本∥原案・監修,マガジンハウス,2004.7,4838715439,https://www.kinokuniya.co.jp/f/dsg-01-4838715439,https://calil.jp/book/4838715439
16,323-ﾖ ,「平和憲法」を持つ三つの国 - パナマ・コスタリカ・日本,吉岡逸夫∥著,明石書店,2007.9,9784750326153,https://www.kinokuniya.co.jp/f/dsg-01-9784750326153,https://calil.jp/book/9784750326153
16,323-ﾗ ,日本は、本当に平和憲法を捨てるのですか?,C.ダグラス・ラミス∥著,平凡社,2003.11,4582831842,https://www.kinokuniya.co.jp/f/dsg-01-4582831842,https://calil.jp/book/4582831842
16,B319-ﾂ ,もうひとつの核なき世界,堤未果∥著,小学館,2014.8,9784094060737,https://www.kinokuniya.co.jp/f/dsg-01-9784094060737,https://calil.jp/book/9784094060737
16,B323-ｳ ,9条どうでしょう,内田樹∥著、小田嶋隆∥著、平川克美∥著、町山智浩∥著,筑摩書房,2012.1,9784480429940,https://www.kinokuniya.co.jp/f/dsg-01-9784480429940,https://calil.jp/book/9784480429940
16,S302-ｱ ,平和ってなんだろう - 「軍隊をすてた国」コスタリカから考える,足立力也∥著,岩波書店,2009.5,9784005006229,https://www.kinokuniya.co.jp/f/dsg-01-9784005006229,https://calil.jp/book/9784005006229
16,S319-ｵ ,沖縄、基地なき島への道標,大田昌秀∥著,集英社,2000.7,4087200418,https://www.kinokuniya.co.jp/f/dsg-01-4087200418,https://calil.jp/book/4087200418
16,S319-ﾃ ,ウクライナ戦争の嘘 - 米露中北の打算・野望・本音,手嶋龍一∥著、佐藤優∥著,中央公論新社,2023.6,9784121507969,https://www.kinokuniya.co.jp/f/dsg-01-9784121507969,https://calil.jp/book/9784121507969
16,S319-ﾍﾞ ,平和をつくった世界の20人,ケン・ベラー∥著、ヘザー・チェイス∥著,岩波書店,2009.11,9784005006410,https://www.kinokuniya.co.jp/f/dsg-01-9784005006410,https://calil.jp/book/9784005006410
16,S319-ﾐ ,ウクライナ戦争と米中対立 - 帝国主義に逆襲される世界,峯村健司∥著、小泉悠∥著、鈴木一人∥著、村野将∥著、小野田治∥著、細谷雄一∥著,幻冬舎,2022.9,9784344986701,https://www.kinokuniya.co.jp/f/dsg-01-9784344986701,https://calil.jp/book/9784344986701
17,312-ﾀ,13歳からの地政学 - カイゾクとの地球儀航海,田中孝幸∥著,東洋経済新報社,2022.3,9784492444689,https://www.kinokuniya.co.jp/f/dsg-01-9784492444689,https://calil.jp/book/9784492444689
17,329-ﾏ,本当は憲法より大切な「日米地位協定入門」,前泊博盛∥編著,創元社,2013.3,9784422300528,https://www.kinokuniya.co.jp/f/dsg-01-9784422300528,https://calil.jp/book/9784422300528
17,329-ﾏ,本当は憲法より大切な「日米地位協定入門」,前泊博盛∥編著,創元社,2013.3,9784422300528,https://www.kinokuniya.co.jp/f/dsg-01-9784422300528,https://calil.jp/book/9784422300528
17,S319-ｶ,国連と日本 岩波新書 新赤版317,河辺一郎著,岩波書店,1994,4004303176,https://www.kinokuniya.co.jp/f/dsg-01-4004303176,https://calil.jp/book/4004303176
17,S329-ﾊ,国際機関ってどんなところ,原康∥著,岩波書店,2007.6,9784005005703,https://www.kinokuniya.co.jp/f/dsg-01-9784005005703,https://calil.jp/book/9784005005703
17,S331-ｻ,ゼロからの『資本論』,斎藤幸平∥著,NHK出版,2023.1,9784140886908,https://www.kinokuniya.co.jp/f/dsg-01-9784140886908,https://calil.jp/book/9784140886908
17,S451-ｲ,京都議定書は実現できるのか - CO2規制社会のゆくえ,石井孝明∥著,平凡社,2004.3,4582852181,https://www.kinokuniya.co.jp/f/dsg-01-4582852181,https://calil.jp/book/4582852181